10	3	3
[DEMANDS]
(1,1):	547	948	832
(1,2):	660	850	632
(1,3):	669	932	629
(2,1):	522	550	892
(2,2):	691	875	890
(2,3):	873	745	861
(3,1):	533	679	757
(3,2):	906	637	568
(3,3):	649	659	520
(4,1):	734	987	757
(4,2):	864	854	591
(4,3):	531	721	774
(5,1):	915	683	847
(5,2):	907	820	858
(5,3):	814	906	807
(6,1):	803	508	832
(6,2):	833	727	939
(6,3):	737	558	887
(7,1):	504	513	777
(7,2):	605	892	847
(7,3):	694	889	811
(8,1):	595	564	986
(8,2):	828	667	543
(8,3):	671	682	945
(9,1):	942	611	548
(9,2):	793	656	630
(9,3):	967	656	571
(10,1):	658	775	685
(10,2):	656	862	729
(10,3):	651	722	747
[SETUP_TIME]
1:	10.93	11.59	11.9
2:	11.2	9.25	10.0
3:	9.7	11.14	10.61
4:	11.41	11.72	11.4
5:	9.36	9.41	8.92
6:	9.19	8.27	8.56
7:	9.17	9.24	11.03
8:	8.86	8.87	11.1
9:	11.91	11.05	10.16
10:	9.06	10.57	8.04
[PRODUCTION_TIME]
1:	0.06	0.04	0.09
2:	0.03	0.02	0.03
3:	0.04	0.01	0.09
4:	0.05	0.09	0.08
5:	0.04	0.03	0.1
6:	0.03	0.09	0.03
7:	0.02	0.04	0.09
8:	0.03	0.03	0.03
9:	0.04	0.05	0.04
10:	0.03	0.04	0.03
[CAPACITY]
1:	212.68	305.85	289.92
2:	315.89	379.02	315.91
3:	399.68	245.97	289.91
[TRANSFER_COST]
(1,1):	1.04	3.34	4.16
(1,2):	4.33	4.77	3.56
(1,3):	2.09	3.57	3.99
(2,1):	2.01	4.3	1.12
(2,2):	1.8	3.24	1.35
(2,3):	1.1	3.07	1.87
(3,1):	3.69	4.1	3.71
(3,2):	4.21	4.46	4.23
(3,3):	3.78	3.18	2.12
[SETUP_COST]
(1,1):	9.36	8.99	6.08
(1,2):	2.96	1.28	2.53
(1,3):	8.77	5.73	9.6
(2,1):	5.94	8.64	3.19
(2,2):	8.55	5.99	7.98
(2,3):	6.72	1.67	9.75
(3,1):	4.33	3.33	7.0
(3,2):	6.76	1.22	6.47
(3,3):	6.85	2.57	1.08
(4,1):	4.96	8.95	4.07
(4,2):	9.58	4.22	8.65
(4,3):	5.14	9.84	6.58
(5,1):	7.52	8.26	1.85
(5,2):	9.95	6.31	7.12
(5,3):	4.14	4.03	9.83
(6,1):	7.06	5.74	4.32
(6,2):	8.38	1.02	7.77
(6,3):	8.13	9.11	2.19
(7,1):	3.49	5.79	2.72
(7,2):	4.72	2.02	8.67
(7,3):	2.31	7.8	9.42
(8,1):	2.42	1.64	7.18
(8,2):	8.14	3.61	5.36
(8,3):	4.49	5.52	9.07
(9,1):	3.88	8.47	6.73
(9,2):	2.0	6.78	6.64
(9,3):	9.66	6.92	1.74
(10,1):	1.53	8.41	3.78
(10,2):	6.83	6.34	5.6
(10,3):	1.55	6.38	8.08
[INVENTORY_COST]
(1,1):	1.74	1.6	1.32
(1,2):	1.88	1.49	1.35
(1,3):	1.11	1.28	1.47
(2,1):	1.4	1.34	1.07
(2,2):	1.52	1.29	1.45
(2,3):	1.32	1.33	1.35
(3,1):	1.36	1.33	1.9
(3,2):	1.53	1.86	1.66
(3,3):	1.13	1.51	1.32
(4,1):	1.55	1.73	1.51
(4,2):	1.09	1.33	1.21
(4,3):	1.62	1.51	1.63
(5,1):	1.41	1.16	1.4
(5,2):	1.32	1.63	1.62
(5,3):	1.8	1.45	1.31
(6,1):	1.04	1.98	1.56
(6,2):	1.12	1.91	1.58
(6,3):	1.27	1.74	1.28
(7,1):	1.03	1.67	1.57
(7,2):	1.71	1.41	1.07
(7,3):	1.17	1.49	1.82
(8,1):	1.43	1.95	1.23
(8,2):	1.45	1.63	1.16
(8,3):	1.97	1.28	1.58
(9,1):	1.66	1.06	1.33
(9,2):	1.56	1.79	1.69
(9,3):	1.37	1.46	1.14
(10,1):	1.96	1.49	1.69
(10,2):	1.66	1.55	1.81
(10,3):	1.0	1.44	1.37
[PRODUCTION_COST]
(1,1):	1.74	1.49	1.8
(1,2):	1.17	1.28	1.85
(1,3):	1.67	1.43	1.53
(2,1):	1.72	1.99	1.61
(2,2):	1.5	1.65	1.28
(2,3):	1.14	1.98	1.63
(3,1):	1.4	1.49	1.72
(3,2):	1.6	1.27	1.32
(3,3):	1.52	1.72	1.96
(4,1):	1.61	1.63	1.12
(4,2):	1.02	1.85	1.63
(4,3):	1.47	1.99	1.26
(5,1):	1.29	1.4	1.88
(5,2):	1.75	1.85	1.14
(5,3):	1.51	1.02	1.25
(6,1):	1.48	1.95	1.94
(6,2):	1.53	1.63	1.64
(6,3):	1.5	1.39	1.88
(7,1):	1.04	1.51	1.09
(7,2):	1.93	1.83	1.53
(7,3):	1.38	1.36	1.95
(8,1):	1.85	1.94	1.85
(8,2):	1.51	1.05	1.18
(8,3):	1.08	1.74	1.26
(9,1):	1.15	1.47	1.2
(9,2):	1.24	1.35	1.96
(9,3):	1.4	1.75	1.85
(10,1):	1.23	1.42	1.93
(10,2):	1.4	1.81	1.52
(10,3):	1.08	1.93	1.91
[EOD]
